product_id,shop_id,shop_name,title,category_id,category_name,description,platform,site,source_type,currency,price,cost,shipping_cost,sales_count,rating,review_count,favorite_count,status,created_at,updated_at,collected_at,is_mock_data
PROD0011,SHOP005,Demo Vietnam Smart Store,Hair Styling Brush Plus 011,CAT003,Beauty & Personal Care,Heated styling brush with adjustable temperature,MockShopee,Vietnam,simulated_experiment,VND,377000.00,178353.02,13760.84,122,3.33,6,46,active,2025-09-23T19:00:00+08:00,2026-06-30T23:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0012,SHOP006,Demo Indonesia Smart Store,Travel Wallet Everyday 012,CAT004,Fashion Accessories,RFID-blocking organizer for cards and passport,MockShopee,Indonesia,simulated_experiment,IDR,405000.00,271543.93,42394.78,114,3.14,7,17,active,2025-08-22T15:00:00+08:00,2026-06-18T11:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0013,SHOP001,Demo Singapore Smart Store,Yoga Mat Everyday 013,CAT005,Sports & Outdoors,Non-slip exercise mat with carrying strap,MockShopee,Singapore,simulated_experiment,SGD,70.49,41.01,8.15,205,3.11,18,85,active,2025-07-24T04:00:00+08:00,2026-06-15T22:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0014,SHOP002,Demo Malaysia Smart Store,Interactive Cat Toy Essential 014,CAT006,Pet Supplies,Rechargeable motion toy for indoor cats,MockShopee,Malaysia,simulated_experiment,MYR,88.13,53.12,7.68,222,3.80,5,73,draft,2025-08-15T03:00:00+08:00,2026-06-12T10:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0015,SHOP003,Demo Philippines Smart Store,Mini Food Chopper Plus 015,CAT007,Kitchen Appliances,"Compact chopper for garlic, herbs and vegetables",MockShopee,Philippines,simulated_experiment,PHP,2037.00,963.31,148.54,194,3.20,10,49,active,2025-09-16T08:00:00+08:00,2026-06-20T01:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0016,SHOP004,Demo Thailand Smart Store,Baby Safety Corner Guards Plus 016,CAT008,Baby Products,Soft transparent guards for furniture corners,MockShopee,Thailand,simulated_experiment,THB,1448.00,1037.53,114.66,415,3.40,5,118,active,2025-02-24T05:00:00+08:00,2026-06-25T13:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0017,SHOP005,Demo Vietnam Smart Store,USB-C Hub Premium 017,CAT001,Consumer Electronics,Multi-port hub for laptop and tablet workflows,MockShopee,Vietnam,simulated_experiment,VND,1319000.00,722998.61,154444.56,392,2.42,12,93,active,2025-05-17T10:00:00+08:00,2026-06-19T09:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0018,SHOP006,Demo Indonesia Smart Store,Microfiber Towel Set Everyday 018,CAT002,Home & Living,Soft quick-dry towels for home and travel,MockShopee,Indonesia,simulated_experiment,IDR,647000.00,349038.08,20913.91,299,4.09,11,54,active,2025-01-29T11:00:00+08:00,2026-06-20T18:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0019,SHOP001,Demo Singapore Smart Store,Travel Bottle Set Premium 019,CAT003,Beauty & Personal Care,Leak-resistant refillable travel containers,MockShopee,Singapore,simulated_experiment,SGD,52.65,27.93,4.69,257,3.64,14,51,active,2025-12-07T10:00:00+08:00,2026-06-24T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0020,SHOP002,Demo Malaysia Smart Store,Travel Wallet Essential 020,CAT004,Fashion Accessories,RFID-blocking organizer for cards and passport,MockShopee,Malaysia,simulated_experiment,MYR,116.95,82.62,11.53,398,3.00,4,71,active,2025-11-11T09:00:00+08:00,2026-06-21T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0021,SHOP003,Demo Philippines Smart Store,Running Waist Belt Plus 021,CAT005,Sports & Outdoors,Sweat-resistant belt for phone and essentials,MockShopee,Philippines,simulated_experiment,PHP,1390.00,729.87,131.62,380,3.70,10,135,active,2026-02-21T21:00:00+08:00,2026-06-29T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0022,SHOP004,Demo Thailand Smart Store,Interactive Cat Toy Everyday 022,CAT006,Pet Supplies,Rechargeable motion toy for indoor cats,MockShopee,Thailand,simulated_experiment,THB,314.00,157.72,10.64,106,3.36,11,13,inactive,2025-02-17T00:00:00+08:00,2026-06-14T23:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0023,SHOP005,Demo Vietnam Smart Store,Sandwich Maker Premium 023,CAT007,Kitchen Appliances,Compact non-stick press for quick breakfasts,MockShopee,Vietnam,simulated_experiment,VND,1572000.00,813315.63,184717.49,308,3.67,6,34,active,2025-09-06T20:00:00+08:00,2026-06-23T01:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0024,SHOP006,Demo Indonesia Smart Store,Silicone Feeding Set Essential 024,CAT008,Baby Products,Food-grade feeding set with suction base,MockShopee,Indonesia,simulated_experiment,IDR,550000.00,271071.15,42439.44,131,4.00,11,22,active,2026-01-05T08:00:00+08:00,2026-06-11T02:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0025,SHOP001,Demo Singapore Smart Store,Wireless Earbuds Essential 025,CAT001,Consumer Electronics,"Bluetooth 5.3, low-latency audio and charging case",MockShopee,Singapore,simulated_experiment,SGD,72.55,50.61,5.93,571,4.12,8,116,active,2025-09-07T03:00:00+08:00,2026-06-14T06:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0026,SHOP002,Demo Malaysia Smart Store,Vacuum Storage Bags Essential 026,CAT002,Home & Living,Reusable space-saving storage bags,MockShopee,Malaysia,simulated_experiment,MYR,54.88,28.50,4.03,454,4.18,11,180,active,2025-07-20T04:00:00+08:00,2026-06-22T04:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0027,SHOP003,Demo Philippines Smart Store,Hair Styling Brush Everyday 027,CAT003,Beauty & Personal Care,Heated styling brush with adjustable temperature,MockShopee,Philippines,simulated_experiment,PHP,2390.00,1615.60,233.60,208,2.90,21,57,active,2025-02-24T23:00:00+08:00,2026-06-18T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0028,SHOP004,Demo Thailand Smart Store,Polarized Sunglasses Essential 028,CAT004,Fashion Accessories,UV400 polarized lenses in a lightweight frame,MockShopee,Thailand,simulated_experiment,THB,2218.00,1250.54,244.15,81,2.57,14,17,active,2025-08-25T09:00:00+08:00,2026-06-14T07:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0029,SHOP005,Demo Vietnam Smart Store,Resistance Band Set Compact 029,CAT005,Sports & Outdoors,Multi-level bands for home strength training,MockShopee,Vietnam,simulated_experiment,VND,826000.00,377837.71,40894.95,278,2.88,8,92,active,2025-04-22T19:00:00+08:00,2026-06-19T02:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0030,SHOP006,Demo Indonesia Smart Store,Portable Pet Bottle Plus 030,CAT006,Pet Supplies,Leak-resistant water bottle for outdoor walks,MockShopee,Indonesia,simulated_experiment,IDR,418000.00,242781.93,14552.86,261,2.50,8,49,active,2026-04-08T12:00:00+08:00,2026-06-30T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0031,SHOP001,Demo Singapore Smart Store,Mini Food Chopper Everyday 031,CAT007,Kitchen Appliances,"Compact chopper for garlic, herbs and vegetables",MockShopee,Singapore,simulated_experiment,SGD,78.47,43.97,7.40,348,3.11,9,58,active,2026-04-02T04:00:00+08:00,2026-06-15T12:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0032,SHOP002,Demo Malaysia Smart Store,Silicone Feeding Set Premium 032,CAT008,Baby Products,Food-grade feeding set with suction base,MockShopee,Malaysia,simulated_experiment,MYR,212.44,148.80,10.27,168,3.92,26,68,inactive,2025-12-29T15:00:00+08:00,2026-06-17T17:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0033,SHOP003,Demo Philippines Smart Store,Smart Desk Lamp Plus 033,CAT001,Consumer Electronics,Adjustable LED lamp with touch controls,MockShopee,Philippines,simulated_experiment,PHP,351.00,240.35,21.64,132,4.00,9,20,draft,2025-05-23T12:00:00+08:00,2026-06-16T09:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0034,SHOP004,Demo Thailand Smart Store,Microfiber Towel Set Plus 034,CAT002,Home & Living,Soft quick-dry towels for home and travel,MockShopee,Thailand,simulated_experiment,THB,1205.00,853.50,38.27,208,4.00,7,65,active,2026-03-29T04:00:00+08:00,2026-06-25T14:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0035,SHOP005,Demo Vietnam Smart Store,Hair Styling Brush Compact 035,CAT003,Beauty & Personal Care,Heated styling brush with adjustable temperature,MockShopee,Vietnam,simulated_experiment,VND,1156000.00,619872.80,57459.09,487,3.09,11,124,active,2026-04-12T02:00:00+08:00,2026-06-22T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0036,SHOP006,Demo Indonesia Smart Store,Polarized Sunglasses Everyday 036,CAT004,Fashion Accessories,UV400 polarized lenses in a lightweight frame,MockShopee,Indonesia,simulated_experiment,IDR,238000.00,112812.96,17003.68,225,3.50,4,93,active,2025-07-25T07:00:00+08:00,2026-07-01T02:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0037,SHOP001,Demo Singapore Smart Store,Insulated Water Bottle Premium 037,CAT005,Sports & Outdoors,Double-wall bottle for hot and cold drinks,MockShopee,Singapore,simulated_experiment,SGD,72.52,46.11,4.58,151,2.83,6,29,active,2026-04-27T05:00:00+08:00,2026-06-10T22:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0038,SHOP002,Demo Malaysia Smart Store,Pet Grooming Brush Compact 038,CAT006,Pet Supplies,Rounded-tip deshedding brush for cats and dogs,MockShopee,Malaysia,simulated_experiment,MYR,231.36,158.04,10.55,197,3.50,4,32,active,2026-02-26T05:00:00+08:00,2026-06-11T11:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0039,SHOP003,Demo Philippines Smart Store,Digital Kitchen Scale Plus 039,CAT007,Kitchen Appliances,Precise scale with tare function and clear display,MockShopee,Philippines,simulated_experiment,PHP,2542.00,1795.37,299.16,89,4.32,28,32,active,2025-12-09T15:00:00+08:00,2026-06-12T09:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0040,SHOP004,Demo Thailand Smart Store,Stroller Organizer Everyday 040,CAT008,Baby Products,Universal organizer with insulated cup holders,MockShopee,Thailand,simulated_experiment,THB,1747.00,1187.00,132.33,81,3.20,5,29,active,2025-10-02T05:00:00+08:00,2026-06-21T09:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0041,SHOP005,Demo Vietnam Smart Store,Portable Charger Everyday 041,CAT001,Consumer Electronics,Fast-charging power bank with safety protection,MockShopee,Vietnam,simulated_experiment,VND,1311000.00,850803.11,106824.12,259,3.55,11,71,active,2025-06-08T08:00:00+08:00,2026-06-27T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0042,SHOP006,Demo Indonesia Smart Store,Storage Organizer Plus 042,CAT002,Home & Living,Foldable household organizer for compact spaces,MockShopee,Indonesia,simulated_experiment,IDR,604000.00,414469.20,48403.97,183,3.77,13,74,active,2026-04-04T07:00:00+08:00,2026-06-16T00:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0043,SHOP001,Demo Singapore Smart Store,Makeup Organizer Everyday 043,CAT003,Beauty & Personal Care,Clear cosmetic organizer with modular compartments,MockShopee,Singapore,simulated_experiment,SGD,10.59,6.87,1.11,283,3.00,7,55,active,2025-08-11T16:00:00+08:00,2026-06-21T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0044,SHOP002,Demo Malaysia Smart Store,Travel Wallet Premium 044,CAT004,Fashion Accessories,RFID-blocking organizer for cards and passport,MockShopee,Malaysia,simulated_experiment,MYR,62.12,41.49,3.86,251,3.17,6,104,active,2025-02-24T04:00:00+08:00,2026-06-17T07:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0045,SHOP003,Demo Philippines Smart Store,Yoga Mat Plus 045,CAT005,Sports & Outdoors,Non-slip exercise mat with carrying strap,MockShopee,Philippines,simulated_experiment,PHP,2689.00,1850.24,143.12,132,3.90,10,48,active,2025-01-09T23:00:00+08:00,2026-06-20T17:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0046,SHOP004,Demo Thailand Smart Store,Pet Grooming Brush Compact 046,CAT006,Pet Supplies,Rounded-tip deshedding brush for cats and dogs,MockShopee,Thailand,simulated_experiment,THB,397.00,282.79,16.09,416,3.83,6,58,active,2025-04-01T06:00:00+08:00,2026-06-21T13:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0047,SHOP005,Demo Vietnam Smart Store,Digital Kitchen Scale Compact 047,CAT007,Kitchen Appliances,Precise scale with tare function and clear display,MockShopee,Vietnam,simulated_experiment,VND,1025000.00,571328.28,58104.12,102,3.33,6,11,active,2025-04-03T12:00:00+08:00,2026-06-30T03:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0048,SHOP006,Demo Indonesia Smart Store,Stroller Organizer Premium 048,CAT008,Baby Products,Universal organizer with insulated cup holders,MockShopee,Indonesia,simulated_experiment,IDR,731000.00,422457.85,39627.43,148,3.62,8,16,active,2025-04-15T20:00:00+08:00,2026-06-28T17:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0049,SHOP001,Demo Singapore Smart Store,Portable Charger Premium 049,CAT001,Consumer Electronics,Fast-charging power bank with safety protection,MockShopee,Singapore,simulated_experiment,SGD,68.23,33.19,6.55,463,3.57,14,60,active,2026-03-29T02:00:00+08:00,2026-06-24T15:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0050,SHOP002,Demo Malaysia Smart Store,Vacuum Storage Bags Everyday 050,CAT002,Home & Living,Reusable space-saving storage bags,MockShopee,Malaysia,simulated_experiment,MYR,71.87,34.02,7.17,81,3.86,14,19,active,2025-12-09T13:00:00+08:00,2026-06-22T14:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0051,SHOP003,Demo Philippines Smart Store,Makeup Organizer Plus 051,CAT003,Beauty & Personal Care,Clear cosmetic organizer with modular compartments,MockShopee,Philippines,simulated_experiment,PHP,3509.00,2371.36,168.01,280,4.09,11,101,active,2025-11-27T05:00:00+08:00,2026-06-20T12:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0052,SHOP004,Demo Thailand Smart Store,Polarized Sunglasses Plus 052,CAT004,Fashion Accessories,UV400 polarized lenses in a lightweight frame,MockShopee,Thailand,simulated_experiment,THB,685.00,485.96,55.52,81,3.67,6,10,active,2026-02-05T20:00:00+08:00,2026-06-13T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0053,SHOP005,Demo Vietnam Smart Store,Running Waist Belt Everyday 053,CAT005,Sports & Outdoors,Sweat-resistant belt for phone and essentials,MockShopee,Vietnam,simulated_experiment,VND,1201000.00,594999.59,125201.12,89,3.57,7,32,active,2025-01-25T11:00:00+08:00,2026-06-18T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0054,SHOP006,Demo Indonesia Smart Store,Slow Feeder Bowl Compact 054,CAT006,Pet Supplies,Maze bowl designed to support slower eating,MockShopee,Indonesia,simulated_experiment,IDR,466000.00,276660.09,26696.44,192,3.00,5,36,active,2025-04-11T04:00:00+08:00,2026-06-24T01:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0055,SHOP001,Demo Singapore Smart Store,Mini Food Chopper Compact 055,CAT007,Kitchen Appliances,"Compact chopper for garlic, herbs and vegetables",MockShopee,Singapore,simulated_experiment,SGD,49.69,32.50,4.32,149,3.25,4,53,inactive,2025-08-13T15:00:00+08:00,2026-07-01T03:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0056,SHOP002,Demo Malaysia Smart Store,Portable Changing Mat Plus 056,CAT008,Baby Products,Foldable wipe-clean mat with storage pockets,MockShopee,Malaysia,simulated_experiment,MYR,60.68,35.29,5.05,328,3.17,6,48,active,2025-12-06T08:00:00+08:00,2026-06-29T17:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0057,SHOP003,Demo Philippines Smart Store,Portable Charger Premium 057,CAT001,Consumer Electronics,Fast-charging power bank with safety protection,MockShopee,Philippines,simulated_experiment,PHP,1427.00,699.00,117.99,186,4.00,9,24,active,2025-08-12T23:00:00+08:00,2026-06-17T13:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0058,SHOP004,Demo Thailand Smart Store,Storage Organizer Essential 058,CAT002,Home & Living,Foldable household organizer for compact spaces,MockShopee,Thailand,simulated_experiment,THB,2117.00,1068.03,92.03,295,3.60,5,97,active,2026-02-18T09:00:00+08:00,2026-06-13T18:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0059,SHOP005,Demo Vietnam Smart Store,Makeup Organizer Plus 059,CAT003,Beauty & Personal Care,Clear cosmetic organizer with modular compartments,MockShopee,Vietnam,simulated_experiment,VND,1436000.00,908280.92,108439.20,199,3.42,12,29,active,2025-03-21T10:00:00+08:00,2026-06-18T22:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0060,SHOP006,Demo Indonesia Smart Store,Travel Wallet Plus 060,CAT004,Fashion Accessories,RFID-blocking organizer for cards and passport,MockShopee,Indonesia,simulated_experiment,IDR,527000.00,308766.43,62309.44,154,3.88,8,42,active,2025-05-17T02:00:00+08:00,2026-06-14T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0061,SHOP001,Demo Singapore Smart Store,Yoga Mat Premium 061,CAT005,Sports & Outdoors,Non-slip exercise mat with carrying strap,MockShopee,Singapore,simulated_experiment,SGD,84.75,46.62,7.62,219,3.78,9,43,active,2025-08-04T08:00:00+08:00,2026-07-01T09:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0062,SHOP002,Demo Malaysia Smart Store,Pet Grooming Brush Plus 062,CAT006,Pet Supplies,Rounded-tip deshedding brush for cats and dogs,MockShopee,Malaysia,simulated_experiment,MYR,242.28,148.16,26.85,274,3.00,7,35,active,2025-05-04T01:00:00+08:00,2026-06-25T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0063,SHOP003,Demo Philippines Smart Store,Digital Kitchen Scale Premium 063,CAT007,Kitchen Appliances,Precise scale with tare function and clear display,MockShopee,Philippines,simulated_experiment,PHP,2866.00,1483.36,327.61,428,3.80,10,94,active,2026-03-08T23:00:00+08:00,2026-06-30T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0064,SHOP004,Demo Thailand Smart Store,Silicone Feeding Set Plus 064,CAT008,Baby Products,Food-grade feeding set with suction base,MockShopee,Thailand,simulated_experiment,THB,378.00,189.69,18.10,71,3.00,7,29,active,2025-12-07T19:00:00+08:00,2026-06-29T01:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0065,SHOP005,Demo Vietnam Smart Store,Portable Charger Premium 065,CAT001,Consumer Electronics,Fast-charging power bank with safety protection,MockShopee,Vietnam,simulated_experiment,VND,1492000.00,975369.77,169770.80,259,3.50,18,63,active,2026-04-16T20:00:00+08:00,2026-06-26T02:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0066,SHOP006,Demo Indonesia Smart Store,Vacuum Storage Bags Plus 066,CAT002,Home & Living,Reusable space-saving storage bags,MockShopee,Indonesia,simulated_experiment,IDR,193000.00,138012.29,20300.97,141,3.40,5,31,active,2026-04-11T02:00:00+08:00,2026-06-22T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0067,SHOP001,Demo Singapore Smart Store,Travel Bottle Set Compact 067,CAT003,Beauty & Personal Care,Leak-resistant refillable travel containers,MockShopee,Singapore,simulated_experiment,SGD,29.72,19.62,2.71,156,3.00,11,42,active,2026-02-03T10:00:00+08:00,2026-06-12T06:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0068,SHOP002,Demo Malaysia Smart Store,Polarized Sunglasses Premium 068,CAT004,Fashion Accessories,UV400 polarized lenses in a lightweight frame,MockShopee,Malaysia,simulated_experiment,MYR,236.62,165.21,24.65,74,4.00,12,7,active,2025-06-01T23:00:00+08:00,2026-06-26T17:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0069,SHOP003,Demo Philippines Smart Store,Insulated Water Bottle Essential 069,CAT005,Sports & Outdoors,Double-wall bottle for hot and cold drinks,MockShopee,Philippines,simulated_experiment,PHP,1023.00,649.57,66.29,207,2.45,11,21,active,2026-02-06T09:00:00+08:00,2026-06-11T10:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0070,SHOP004,Demo Thailand Smart Store,Portable Pet Bottle Essential 070,CAT006,Pet Supplies,Leak-resistant water bottle for outdoor walks,MockShopee,Thailand,simulated_experiment,THB,1997.00,1117.55,202.98,113,2.56,9,30,active,2025-01-12T12:00:00+08:00,2026-06-20T16:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0071,SHOP005,Demo Vietnam Smart Store,Electric Milk Frother Everyday 071,CAT007,Kitchen Appliances,Handheld frother for coffee and beverages,MockShopee,Vietnam,simulated_experiment,VND,355000.00,255227.02,16130.42,358,3.50,4,83,draft,2025-08-02T22:00:00+08:00,2026-06-12T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0072,SHOP006,Demo Indonesia Smart Store,Baby Safety Corner Guards Premium 072,CAT008,Baby Products,Soft transparent guards for furniture corners,MockShopee,Indonesia,simulated_experiment,IDR,94000.00,65941.41,10269.56,93,3.06,17,13,active,2025-12-04T02:00:00+08:00,2026-06-29T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0073,SHOP001,Demo Singapore Smart Store,USB-C Hub Everyday 073,CAT001,Consumer Electronics,Multi-port hub for laptop and tablet workflows,MockShopee,Singapore,simulated_experiment,SGD,26.55,17.65,2.20,213,3.60,10,83,active,2025-03-24T16:00:00+08:00,2026-06-10T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0074,SHOP002,Demo Malaysia Smart Store,Aroma Diffuser Premium 074,CAT002,Home & Living,Quiet mist diffuser with ambient light,MockShopee,Malaysia,simulated_experiment,MYR,251.78,125.68,12.10,141,3.17,6,18,active,2025-01-11T18:00:00+08:00,2026-06-23T04:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0075,SHOP003,Demo Philippines Smart Store,Hair Styling Brush Compact 075,CAT003,Beauty & Personal Care,Heated styling brush with adjustable temperature,MockShopee,Philippines,simulated_experiment,PHP,3496.00,1609.30,356.09,99,3.77,13,35,active,2025-03-26T22:00:00+08:00,2026-06-30T11:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0076,SHOP004,Demo Thailand Smart Store,Travel Wallet Premium 076,CAT004,Fashion Accessories,RFID-blocking organizer for cards and passport,MockShopee,Thailand,simulated_experiment,THB,1483.00,853.08,177.84,267,3.75,8,87,active,2025-12-23T05:00:00+08:00,2026-07-01T12:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0077,SHOP005,Demo Vietnam Smart Store,Insulated Water Bottle Premium 077,CAT005,Sports & Outdoors,Double-wall bottle for hot and cold drinks,MockShopee,Vietnam,simulated_experiment,VND,976000.00,507107.09,114335.88,157,4.31,13,38,active,2025-05-21T10:00:00+08:00,2026-06-26T04:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0078,SHOP006,Demo Indonesia Smart Store,Slow Feeder Bowl Premium 078,CAT006,Pet Supplies,Maze bowl designed to support slower eating,MockShopee,Indonesia,simulated_experiment,IDR,201000.00,110181.75,13463.91,121,3.15,20,23,active,2025-01-18T00:00:00+08:00,2026-06-22T10:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0079,SHOP001,Demo Singapore Smart Store,Electric Milk Frother Compact 079,CAT007,Kitchen Appliances,Handheld frother for coffee and beverages,MockShopee,Singapore,simulated_experiment,SGD,65.67,31.48,5.07,353,3.75,12,123,active,2026-01-31T16:00:00+08:00,2026-06-22T15:00:00+08:00,2026-07-01T12:00:00+08:00,true
